state	name	ratio	votes
Alabama	D.Trump	62.90	1306925
Alabama	H.Clinton	34.60	718084
Alabama	G.Johnson	2.10	43869
Alabama	J.Stein	0.40	9287
Alaska	D.Trump	53.00	129786
Alaska	H.Clinton	37.60	92013
Alaska	G.Johnson	5.90	14524
Alaska	J.Stein	1.80	4394
Alaska	D.Castle	1.30	3070
Alaska	R.De La Fuente	0.40	959
Arizona	D.Trump	49.60	972900
Arizona	H.Clinton	45.30	888374
Arizona	G.Johnson	3.80	75082
Arizona	J.Stein	1.20	23697
Arkansas	D.Trump	60.40	677904
Arkansas	H.Clinton	33.80	378729
Arkansas	G.Johnson	2.60	29518
Arkansas	E.McMullin	1.20	13069
Arkansas	J.Stein	0.90	9837
Arkansas	J.Hedges	0.40	4676
Arkansas	D.Castle	0.40	4567
Arkansas	L.Kahn	0.30	3384
California	H.Clinton	61.50	5482166
California	D.Trump	33.30	2966654
California	G.Johnson	3.20	281536
California	J.Stein	1.70	152333
California	G.La Riva	0.40	38156
Colorado	H.Clinton	46.90	1126384
Colorado	D.Trump	44.80	1075770
Colorado	G.Johnson	4.90	117906
Colorado	J.Stein	1.20	29299
Colorado	E.McMullin	1.00	24679
Colorado	D.Castle	0.40	10057
Colorado	C.Keniston	0.40	8490
Colorado	M.Smith	0.10	1544
Colorado	R.De La Fuente	0.00	919
Colorado	K.Kopitke	0.00	916
Colorado	J.Maldonado	0.00	711
Colorado	M.Maturen	0.00	699
Colorado	R.Scott	0.00	651
Colorado	R.Silva	0.00	588
Colorado	T.Hoefling	0.00	580
Colorado	G.La Riva	0.00	411
Colorado	A.Kennedy	0.00	372
Colorado	L.Kotlikoff	0.00	338
Colorado	B.Lyttle	0.00	304
Colorado	F.Atwood	0.00	289
Colorado	E.Soltysik	0.00	210
Colorado	J.Hedges	0.00	150
Connecticut	H.Clinton	53.90	823360
Connecticut	D.Trump	41.70	637919
Connecticut	G.Johnson	3.00	45999
Connecticut	J.Stein	1.40	21539
Delaware	H.Clinton	53.40	235581
Delaware	D.Trump	41.90	185103
Delaware	G.Johnson	3.30	14751
Delaware	J.Stein	1.40	6100
District of Columbia	H.Clinton	92.80	260223
District of Columbia	D.Trump	4.10	11553
District of Columbia	G.Johnson	1.60	4501
District of Columbia	J.Stein	1.40	3995
Florida	D.Trump	49.10	4605515
Florida	H.Clinton	47.80	4485745
Florida	G.Johnson	2.20	206007
Florida	J.Stein	0.70	64019
Florida	D.Castle	0.20	16393
Florida	R.De La Fuente	0.10	9071
Georgia	D.Trump	51.30	2068623
Georgia	H.Clinton	45.60	1837300
Georgia	G.Johnson	3.10	123641
Hawaii	H.Clinton	62.30	251853
Hawaii	D.Trump	30.10	121648
Hawaii	G.Johnson	3.70	14854
Hawaii	J.Stein	2.90	11608
Hawaii	D.Castle	1.00	4191
Idaho	D.Trump	59.20	407199
Idaho	H.Clinton	27.60	189677
Idaho	E.McMullin	6.80	46538
Idaho	G.Johnson	4.10	28256
Idaho	J.Stein	1.20	8464
Idaho	D.Castle	0.60	4378
